SerHumano|Van del lado de la MAFIA pues.
Discombobulated|Las mociones de censura no están hechas para ganar sí o sí. Inténtelo Sr. Feijóo.
Discombobulated|Si la situación la considera realmente tan grave, tan sobrecogedora, el PP debería presentar una moción de censura y dejarse de palabrería grandilocuente y aspavientos. ¡Venga!
Utopilitologo|Pactos de la Moncloa. Estudia. @river #71 Cerrar @ Utopilitologo # 21 El pacto entre partidos con ideología muy contraria, en las antípodas, solo se ha dado en España con Sánchez ¿Sabes otro caso? Pues ponlo.
franciss|Ya escondiste las siglas del PP en Galicia... no se dan cuenta que Feijóo es al PP lo que Sánchez al PSOE.
Sidi|Yo con este individuo no voy ni a heredar. Menos aun a una supuesta manifestación contra sus socios, tanto en España como en Europa.
Sostenella|Yo lo que pido a todos los partidos que estén en contra de Sánchez, que no nos convoquen a una manifestación en Madrid y luego se olviden. Yo soy de fuera y he estado en las dos grandes que se hicieron, y luego, nada. Lo que pido es que nos convoquen a los españoles a una movilización total, permanente y en toda España, hasta que se convoquen elecciones. Sin violencia, sin agresiones, sin quemar nada, que eso es cosa de zurdos.
Molinos1924|Jajaja, los fachapobres van a una manifestación porque mediante el voto no logran un gobierno de PP. No se dan cuenta de que esta ley electoral, que beneficia los regionalismos, sólo puede cambiarse si PP-PSOE quieren.
Babia|Ni ideas.
Creonte|Núñez Feijóo nunca será presidente. Parte del PSOE ya se está moviendo para desembarazarse de Pedro Sánchez (muchas de las filtraciones son 'fuego amigo') y colocar a García-Page. Si lo logta, sacarán más escaños que el PP y Vox será segunda fuerza política.
Vidaysol|@55manu #168 Cerrar Se equivoca VOX no acudiendo a esa manifestacion, o se une.la derecha, o a este no lo echamos ni despellejado. Entiendo que VOX no se puede hacer una foto con Mazon y Rajoy
Vidaysol|Rajoy fue un pesimo politico pues no supo ver que convocando elecciones posiblemente Sanchez no estaria hoy siendo presidente, Mazon es un pesimo politico pues antepuso su agenda a su responsabilida en unos momentos de maxima gravedad como se demostro con tantas personas fallecidas
Vidaysol|Es un error que este Mazon y Rajoy, el PP deberia esconderlos ya que por diferentes motivos no gustan a la mayoria de la gente que acudira
zertiko|Lo dije hace unos días y lo repito hoy, la fecha es mala (más de 30 grados), y la convocatoria es inoportuna (no es el momento adecuado), no irán más de 250 mil personas en una ciudad como Madrid con más de 5 millones de habitantes.
zertiko|La fractura en la derecha es inevitable, Santiago Abascal quiere seguir aumentando su patrimonio sin trabajar un sólo día en la empresa privada a costa de lo que sea.
Alejanddro|Mejor que no haya españoles
55manu|@DerechonaFracasada #162 Cerrar @ Stopfascismo # 110 Te repito tú comentario como recordatorio.... Al frente de la manifa M. Rajoy el de los sobresueldos en B al otro lado el excolega del narco y en el centro el de las armas de destrucción masiva y creador de los Zaplana, Rato, Matas, Soria, Cascos, el q llevo a la boda de su hija a Correa y al Bigotes. En definitiva el partido cuya sede se pagó con dinero negro. Esos son los de la ejemplaridad. Manda huevos q dijo el otro, el del yak 42. Vaya tropa.. A mi que no me esperen a esta MANIFESTACIÓN mafiosa. Los sobres de Rajoy son la calderilla que dejaron los cuatro del Peugeot en los puticlubs que visitaron
55manu|Se equivoca VOX no acudiendo a esa manifestacion, o se une.la derecha, o a este no lo echamos ni despellejado.
MPP64|@zagal2 #96 Cerrar @ MPP64 # 89 No tiene ningún sentido hacer un cordón sanitario contra un partido constitucional como es VOX. Bueno sí, cuando los demás son desleales a la Constitución y la democracia. En España no hay democracia, hay una partitocracia que es corrupta, impune y cada vez más totalitaria. Que gobierne el PSOErojo o el PSOEazul, en defintiva el PPSOE, da bastante igual. La derecha tuvo mayoría absoluta con el programa de derechas que traicionó el PP de Rajoy y Soraya para hacer la política del PSOE, mantener sus tóxicas leyes ideológicas y no cumplir su programa, elevando los impuestos tanto que el propio Montoro dijo que era más que lo que hubiera hecho Izquierda Unida. No solo es posible, sino lo razonable un gobierno de derechas en España, que necesariamente será con VOX, que ponga fin a la partitocracia criminal. Creo que volverán a sumar más adeptos los contrarios a vox y cualquier pacto con ellos.
elkoletasmorada|Otro fracaso de manifestación. La última se la pegaron. Pero a Núñez no le importa. Son los últimos cartuchos que tiene a ver si Sánchez, por voluntad propia, abandona Moncloa. Si Sanchez termina la legislatura como se prevé, Núñez termina su vida politica.
HOH|Banderas con AYUSO PALANTE jajaja
lerougeetlenoir|ComPPlejos a tope. Este no aprende. Asì ni llegò...ni llegarà.
DerechonaFracasada|@moreno1984 #107 Cerrar Pues yo iré con mi bandera, sr Feijoo. Faltaba más que me dijera como tengo que ir o qué decir. Y el águila también la vas a traer...
DerechonaFracasada|@Stopfascismo #110 Cerrar Al frente de la manifa M. Rajoy el de los sobresueldos en B al otro lado el excolega del narco y en el centro el de las armas de destrucción masiva y creador de los Zaplana, Rato, Matas, Soria, Cascos, el q llevo a la boda de su hija a Correa y al Bigotes. En definitiva el partido cuya sede se pagó con dinero negro. Esos son los de la ejemplaridad. Manda huevos q dijo el otro, el del yak 42. Vaya tropa Te repito tú comentario como recordatorio.... Al frente de la manifa M. Rajoy el de los sobresueldos en B al otro lado el excolega del narco y en el centro el de las armas de destrucción masiva y creador de los Zaplana, Rato, Matas, Soria, Cascos, el q llevo a la boda de su hija a Correa y al Bigotes. En definitiva el partido cuya sede se pagó con dinero negro. Esos son los de la ejemplaridad. Manda huevos q dijo el otro, el del yak 42. Vaya tropa.. A mi que no me esperen a esta MANIFESTACIÓN mafiosa.
DerechonaFracasada|@Madison #151 Cerrar @ DerechonaFracasada # 66 Pues bien que te picas por cuatro verdades bien dichas. No he leído ni un comentario objetivo procedente de alguien de izquierda. Será que se explican mal o no coges la parte.
loqueyotediga|NO NO ALLÁ TÚ QUE TE MANIFIESTAS EL DOMINGO Y PACTAS CON SANCHEZ EL LUNES HIPÓCRITA
AngelCareses|Veo la artillería del psoe disparando a tope. Ya solo queda ser corrupto hediondo o facha. Por supuesto yo facha si eso les pone. Nadie hoy puede ser decente apoyando esta izquierda oficial.
canary2017|@Stopfascismo #8 Cerrar Si Aznar con la mayoría de sus ministros condenados. Jajajajajja. Y M. Rajoy q se lleve a Luis hacemos lo q podemos se fuerte. Esto es una broma. Jajajajjajaja Entonces si la solución no es un cambio en el gobierno,qué se puede hacer?? seguimos para bingo hasta que no quede país?? Sufre usted las condiciones que nos imponen los sociatas del gobierno y sus "socios" independentista,comunistas y pro-etarras?? Es mejor seguir así hasta la desaparición??
Dhesestres|Esto es un verdadero golpe de Estado.Si en un ataque frontal a la Democracia la derecha es incapaz de unirse y todas y cada una de las asociaciones democráticasñ etc Estamos perdidos.
Renolc02|Para que, para que pongais los del PP musica a tope pareciendo mas a una fiesta que una manifestacion. Convocarla en Ferraz o dejar de hacer numeritos.
Ma15|Madrid Central al poder
Madison|@DerechonaFracasada #63 Cerrar @ zorin # 56 tranquilo que luego las cifras las ponen ellos mismos y crece exponencialmente... Asi es la VERDADERA MAFIA de la DERECHONA. no está el rojerío para dar lecciones de fontanería...
Madison|@DOBBY #64 Cerrar Que se apliquen el cuento agarrados los dos de la pancarta. Pues si que dan ejemplo de DEMOCRACIA, Aznar y Rajoy. Este par de dos, si que dan el perfil de MAFIA y la de la frase "Relaxing cup of café con leche in Plaza Mayor" pero de la corrupción del gobierno no dices nada...
Madison|@EL_AVISPERO #70 Cerrar Rajoy en la concentración? Pero si gracias a este cobarde y trolero estamos sufriendo al impresentable de Sánchez. al impresentable de sánchez lo sufrimos por culpa de Yolanda y la tropa de Sumar, por los etarras y por los golpistas.
Madison|@DerechonaFracasada #66 Cerrar @ zagal2 # 61 Ya ha salido la DERECHITA... fantástica.... Esa que no sabe ni cuantos son....... Pues bien que te picas por cuatro verdades bien dichas. No he leído ni un comentario objetivo procedente de alguien de izquierda.
INDELEC|@enriqueyahoo #83 Cerrar VOX está desnortado. Ellos sabrán. Que sigan insultando. los que insultan son los del partido impopular
INDELEC|@Jacobino #81 Cerrar ¿Y Marcial Dorado irá también a la mani contra la mafia? si, con Ábalos, KOLDO, Jenny y Jeremy ah y Del y
Madison|@MenosLamentoyMasAccion #73 Cerrar @ Bevilacqua # 65 Aznar 192? Y los del Yak-42? Todavía hay cuerpos allí de los militares que abandonó en suelo Murieron 62 militares españoles, el ministerio de defensa alquiló la aeronave más barata posible con tripulación de baja cualificación profesional, para traer a casa a los militares. ¡Qué catástrofe de gobierno el de Aznar! ¿y en que te crees que siguen viajando los militares cuando van de misión lustillo? ¿En falcon como sánchez con todas las comodidades? Que no haya vuelto a pasar una desgracia no quita que haya cambiado nada chaval.
Madison|@espantajo #76 Cerrar Ah, también van momias y corruptos... los corruptos se quedan en moncloa
INDELEC|BILDU 1000
INDELEC|@MenosLamentoyMasAccion #62 Cerrar Poca la mafia que tenían montada en Génova 13....que cara tan dura tienen, desvergüenza. El primero con la Gran mentira de la democracia en el 11M el "ha sido ETA", y once de sus ministros procesados y/o encarcelados, creo que Jaume Matas ha dejado la cárcel no hace mucho.. .Y el segundo repartiendo billetes de dinero negro como buen mafioso a todo quiski, además la reforma de lsu propia sede, está pagada con dinero que fue ocultado al fisco. Ambos dostambién fueron mafiosos, con sentencia en firme del la audiencia nacional de España y del tribunal Supremo. Anda que os sepa bueno el pasto de la plaza Colón. pues no veas los etarras matando a mil personas inocentes y socios de Sanchez
Madison|Da risa leer al rojerío ya sin argumentos, recurriendo a la corrupción del PP, pero están tan ciegos que son incapaces de procesar que su amado sánchez es el líder de los fontaneros y que están de "goteras" hasta arriba... Ajo y agua. Cuando te pasas de frenada y haces cosas peores que las que criticabas, te comes las consecuencias. Que aproveche.
INDELEC|@Bevilacqua #65 Cerrar Aznar, 192. Mazón, 228. Ayuso, 7291 Bildu 1000
Madison|@MPP64 #89 Cerrar @ zagal2 # 61 Los votos de los españoles suman lo suficiente como para que sus partidos pacten un cordón sanitario que entierre cualquier opción de gobierno con vox. Cuando el electorado tenga absolutamente claro que el pp no va a pactar con vox es posible que vuelva a sumar mayorías y mientras tanto se va a fosilizar en la oposición. Al electorado socialusta nadie le preguntó si les parecía bien pactar con etarras, golpistas y comunistas, es decir, la peor calaña de España y Sánchez hizo lo que le dio la gana para gobernar y le importó un bledo haber mentido sobre la amnistía o sobre su negativa a pactar con Bildu. Por la misma razón el PP puede pactar con quién le de apetezca. En VOX no hay terroristas, ni golpistas ni antiespañoles. Los fontaneros de moncloa no paran de difamarlos y los votontos socialistas, pues ya se ha visto que se creen todas las patrañas...
INDELEC|@ADELE_ #122 Cerrar @ cyndre # 115 Vox son el presente. Ayer Abascal montó una mani frente a Moncloa y fueron 300 personas. Bueno, "personas", esas cosas que les votan. personas son los que votan a Bildu ? Manarracho
bernardino|Feijoo, vete a la ¿..
Madison|@enriqueyahoo #94 Cerrar Abascal ha perdido la cabeza. No Enrique, obviamente, el que la ha perdido es Pedro Sánchez.
LaSogaIsComing|Un "educador" marroquí violiniza a chica de 15 años en su centro de Murcia. Noticias que no leerás en lo monda...
Madison|@Stopfascismo #110 Cerrar Al frente de la manifa M. Rajoy el de los sobresueldos en B al otro lado el excolega del narco y en el centro el de las armas de destrucción masiva y creador de los Zaplana, Rato, Matas, Soria, Cascos, el q llevo a la boda de su hija a Correa y al Bigotes. En definitiva el partido cuya sede se pagó con dinero negro. Esos son los de la ejemplaridad. Manda huevos q dijo el otro, el del yak 42. Vaya tropa Curiosa la "memoria" selectiva del rojerío, que les impide recordar y citar todos los casos de corrupción del psoe y solamente les parecen censurables los de la derecha, con los que no paean de dar la matraca. Dejan patente lo poco que les preocupa la corrupción en realidad. No puede ser que suendo lo mismo, la de izquierda sea "buena" y la de la derecha "mala".
Dhesestres|Los de Venezuela vienen aqui huyendo del Maduro l porque aun aqui Maduro II no ha logrado todos sus objetivos aunque esta en ello .Se lo vamos a impedir.
Madison|@Paramof #118 Cerrar El PP denunciando mafia! Jajajaja jajajaja Siendo ellos la más grande y aceitada mafia que ha parecido España. Hipócritas.Enumerar casos de corrupción del PP es una tarea prácticamente inabarcable...y justo esta gentuza viene a querer enarbolar la bandera de la lucha contra la corrupción.. tienen la cara de piedra. Feijoo, el cacique gallego que disfrutaba su tiempo de ocio con un narcotraficante viene a querer ser ejemplo...ejemplo de qué??. Montarán su aquelarre y se sentirán "gente de bien" estos impresentables. Huida desesperada hacia adelante del psoe. Si tiramos de hemeroteca, no están los socialistas para dar lecciones de moral a nadie y menos ahora. Los casos de corrupción de la izquierda superan con creces a los de la derecha. Y la hipocresía ya ni te cuento. ¿Cómo era eso que dijeron en la moción de censura a Rajoy? Que querían " regenerar la política, erradicar la corrupción y devolver la confianza de la gente en las instituciones del estado". JAJAJAJA...
Madison|@Nachoruiz #121 Cerrar Entonces van a asistir a la manida M punto Rajoy, el de los sobresueldos que creó la policía patriótica, el amigo del narco y el de las armas de destrucción masiva cuyos ministros acabaron todos imputados. Y la convocan desde una sede pagada en negro. Olé la decencia. Olé la mafia Que te pongas ahora a hablar de Rajoy, cuando el PSOE está hasta las trancas de corrupción, que fue precisanente la excusa para sacar al PP del gobierno, es de traca.
123BWKatyn|Madre de Dios, no me lo puedo creer, toda la secta del PSOE copando los comentarios en defensa del psicópata, alucinante!!
MenosLamentoyMasAccion|@Dhesestres #131 Cerrar La derecha debe unirse mas pronto que tarde o no echaremos a Maduro II de España. claro una lógica aplastante, por eso los que huyen del régimen de Maduro vienen a España y se les da asilo político aquí, cuéntale monsergas a tu suegra.
Dhesestres|La derecha debe unirse mas pronto que tarde o no echaremos a Maduro II de España.
Dhesestres|Hay que estar TODOS a una .Como.en Fuente Ovejuna.Para echar al Satrapa y su sequito de la Moncloa.Todo lo demas sobra.Nos estamos jugando la Democracia.Nos estan robandob libertades. Ademas de las Arcas publicas.
lictor22|Desengañemonos las buenas manifestaciones han sido las de la derecha en MARQUÉS DE URQUIJO. Ahí casi tiré un contenedor al suelo. No me dejó mi hija.
marcameron|¿Que es lo que más cabrearía a los progres en general y a Sánchez en particular? Que fueras a la manifestación. Yo voy, lo tengo clarísimo.
lictor22|Si todo light. No va a haber ni siquiera ideas.
BELASTEGI|@zagal2 #61 Cerrar @ BELASTEGI # 37 Los votos de todos los independentistas en España suman menos que los votos que obtiene VOX. Ahí los tiene bien contados. Está claro que los intereses generales de los españoles no son los de quienes quieren destruir la soberanía de la nación española, a España. La gran mayoría de los españoles, por todas las encuestas se sienten españoles y quieren a España. Cuando desde el gobierno por intereses personales de tener el poder por el poder con los 7 votos que le faltan se favorece las causas de los independentistas mediante cohecho político y a cambio de la impunidad de los enemigos de España, se está gobernando favoreciendo a unas minorías cuyos intereses e ideología son contrarios a los intereses generales de los españoles, los nacionales de España y de la democracia. No son si son,,, ¿Cuáles son exactamente los intereses generales de los españoles? Si VOX son tantos ¿No gobiernan porque no quieren? Si como afirma hay cohecho no sea cómplice ¿A qué espera para ir a los tribunales? Se está gobernando favoreciendo a unas minorías.. La subida del SMI, pensiones, etc ¿Favorece a la minoría?
ADELE_|@Oisinmad2 #120 Cerrar @ Editora # 57 Tenemos un 12% de paro por favor... y no hacen más que llegar inmigrantes, que muchas veces son los que acaban cobrando los RGI, las IMV y tal... Ya está bien. O se mete mano a este mercado laboral disfuncional o en la próxima crisis mundial nos cagamos. Con Rajoy había un 15% de paro. Pero era más bonito, no sé.
zorin|@El_futuro_ya_paso #113 Cerrar @ zorin # 111 Ya hemos visto qué ha pasado en Alemania cuando el PP alemán ha pactado con el PSOE alemán, que han disparado a AfD. En Portugal están teniendo la misma fantástica idea y Chega ya se está preparando para gobernar. Feijóo no es muy listo, cometerá el mismo error. No es de los que aprende de los errores ajenos. Y convocando en solitario la manifestación ha cometido otro. Solo hay que compararla con la que habrá mañana en Sevilla.
Orozko|Hace muy bien Feijoo, las banderitas de España por su simbolismo jacobino, no representan a todos los españoles.
ADELE_|@cyndre #115 Cerrar Rajoy y Aznar son el pasado, no deberían asistir. Bien por VOX al no sumarse, al igual que el PP no se sumó a las mociones de censura que presentaron. Vox son el presente. Ayer Abascal montó una mani frente a Moncloa y fueron 300 personas. Bueno, "personas", esas cosas que les votan.
Nachoruiz|Entonces van a asistir a la manida M punto Rajoy, el de los sobresueldos que creó la policía patriótica, el amigo del narco y el de las armas de destrucción masiva cuyos ministros acabaron todos imputados. Y la convocan desde una sede pagada en negro. Olé la decencia. Olé la mafia
Oisinmad2|@Editora #57 Cerrar @ MalditaPandemia # 11 De momento VOX ha votado EN CONTRA del IMV que cobran los españoles arruinados tras la pandemia, que quedaron embargados de por vida. Ojito a éstos "patriotas" de bandera falsa... Tenemos un 12% de paro por favor... y no hacen más que llegar inmigrantes, que muchas veces son los que acaban cobrando los RGI, las IMV y tal... Ya está bien. O se mete mano a este mercado laboral disfuncional o en la próxima crisis mundial nos cagamos.
Oisinmad2|@Bevilacqua #65 Cerrar Aznar, 192. Mazón, 228. Ayuso, 7291 HAY QUE SER MUY MISERABLE como poco para hacer semejante comentario.
Paramof|El PP denunciando mafia! Jajajaja jajajaja Siendo ellos la más grande y aceitada mafia que ha parecido España. Hipócritas.Enumerar casos de corrupción del PP es una tarea prácticamente inabarcable...y justo esta gentuza viene a querer enarbolar la bandera de la lucha contra la corrupción.. tienen la cara de piedra. Feijoo, el cacique gallego que disfrutaba su tiempo de ocio con un narcotraficante viene a querer ser ejemplo...ejemplo de qué??. Montarán su aquelarre y se sentirán "gente de bien" estos impresentables.
no_hope_so_far|@Stopfascismo #110 Cerrar Al frente de la manifa M. Rajoy el de los sobresueldos en B al otro lado el excolega del narco y en el centro el de las armas de destrucción masiva y creador de los Zaplana, Rato, Matas, Soria, Cascos, el q llevo a la boda de su hija a Correa y al Bigotes. En definitiva el partido cuya sede se pagó con dinero negro. Esos son los de la ejemplaridad. Manda huevos q dijo el otro, el del yak 42. Vaya tropa todo muy antiguo ya. Cambia de discurso. No puedes vivir de las rentas toda la vida . El negro pasado del PP no invalida la protesta de muchos ciudadanos que vamos a acudir porque queremos dejar claro que este gobierno es mafioso, corrupto, mentiroso, manipulador y antidemocrático. E iré sin ser ni del PP no de Vox. Tu puedes seguir con la década anterior pero el futuro ya se juega en otro sitio.
ADELE_|@moreno1984 #107 Cerrar Pues yo iré con mi bandera, sr Feijoo. Faltaba más que me dijera como tengo que ir o qué decir. Pues claro que sí! Esa bandera del aguilucho anima cualquier manifestación.
cyndre|Rajoy y Aznar son el pasado, no deberían asistir. Bien por VOX al no sumarse, al igual que el PP no se sumó a las mociones de censura que presentaron.
Oisinmad2|¿Y por qué no han consensuado una convocatoria desde la sociedad civil?. Era tan fácil hacerlo neutro...No me vale eso de voy de bueno "ma non topo". Si cambia la convocatoria y la democratiza posiblemente acudamos más convencidos.
El_futuro_ya_paso|@zorin #111 Cerrar @ MPP64 # 89 Lo mejor que le pude pasar VOX es que PP y PSOE le hagan un cordon sanitario. La prensa española presta poca atención a lo que pasa por europa. Ya hemos visto qué ha pasado en Alemania cuando el PP alemán ha pactado con el PSOE alemán, que han disparado a AfD. En Portugal están teniendo la misma fantástica idea y Chega ya se está preparando para gobernar. Feijóo no es muy listo, cometerá el mismo error. No es de los que aprende de los errores ajenos.
zagal2|@moreno1984 #107 Cerrar Pues yo iré con mi bandera, sr Feijoo. Faltaba más que me dijera como tengo que ir o qué decir. Te lo dice, claro que sí. Y que te vacunes a la fuerza porque él lo manda y si no lo haces te multa con hasta 600.000 euros. Solo por saltarte el confinamiento ya te multaba con 60.000 euros. Que la vacunación obligatoria fue la conocida como Ley de Salud Feijóo que obligó en Galicia hasta que se lo tiró abajo el Tribunal Constitucional por recurso de VOX. Feijóo es un totalitario como cualquier socialista que se precie.
zorin|@MPP64 #89 Cerrar @ zagal2 # 61 Los votos de los españoles suman lo suficiente como para que sus partidos pacten un cordón sanitario que entierre cualquier opción de gobierno con vox. Cuando el electorado tenga absolutamente claro que el pp no va a pactar con vox es posible que vuelva a sumar mayorías y mientras tanto se va a fosilizar en la oposición. Lo mejor que le pude pasar VOX es que PP y PSOE le hagan un cordon sanitario. La prensa española presta poca atención a lo que pasa por europa.
Stopfascismo|Al frente de la manifa M. Rajoy el de los sobresueldos en B al otro lado el excolega del narco y en el centro el de las armas de destrucción masiva y creador de los Zaplana, Rato, Matas, Soria, Cascos, el q llevo a la boda de su hija a Correa y al Bigotes. En definitiva el partido cuya sede se pagó con dinero negro. Esos son los de la ejemplaridad. Manda huevos q dijo el otro, el del yak 42. Vaya tropa
enriqueyahoo|@roky2012 #106 Cerrar @ enriqueyahoo # 94 Qué paso en el 2020 con la noción de censura propuesta por VOX o es que se os va la memoria Era imposible de ganar. Abascal ha perdido la cabeza, pero ya definitivamente.
moreno1984|@JhonnyGin #42 Cerrar Vergüenza debería darles a Rajoy y Aznar salir a la calle siquiera después del mal que han hecho... ¿por qué habría que darles vegüenza si no han hecho nada? Bueno, comparado con lo que ha hecho el PSOE no tienen nada por lo que pedir disculpas.
moreno1984|Pues yo iré con mi bandera, sr Feijoo. Faltaba más que me dijera como tengo que ir o qué decir.
roky2012|@enriqueyahoo #94 Cerrar Abascal ha perdido la cabeza. Qué paso en el 2020 con la noción de censura propuesta por VOX o es que se os va la memoria
Sonia5|Señores del PP, menos manifestaciones simplonas y dejen de pactar absolutamente todo con el PSOE en el Parlamento europeo... El problema de España no son los votantes del PSOE sino los del PP, siempre engañados por su propio partido y yo he votado 30 años al PP pero ya no me engañan más.
Jgre|@Bevilacqua #65 Cerrar Aznar, 192. Mazón, 228. Ayuso, 7291 Sanchez 125.000
ADELE_|@PorElMundo_sin_censores #99 Cerrar @ ADELE_ # 93 Otra vez por aquí. ¿A cuanto te pagan el comentario en Ferraz? Señor, ya le he explicado varias veces que aquí podemos comentar todos: ustedes, y nosotros los demócratas también. ¿Lo entiende? No, Cara al sol no, que si lo entiende.
jricharte1970|@Bevilacqua #65 Cerrar Aznar, 192. Mazón, 228. Ayuso, 7291 pso€: más de 3000 en su golpe de Estado del 34 en Asturias.
Dartakan|Mientras PP y Vox, no hagan,piña,Sánchez,brinda con chámpam¿ni moción de censura,ni elecciones¿.mucho BLA BLA BLA, y a la hora dela verdad,PP Y VOX cada uno por su lado,y Sánchez,una vez más , con la Caroña nacionalista, mayoría.
Palmeto|Feijoo, eres un bostezo.
PorElMundo_sin_censores|@ADELE_ #93 Cerrar Mazón anuncia que también asistirá a la manifestación. Eso sí, doce horas más tarde, él va a su ritmo. Otra vez por aquí. ¿A cuanto te pagan el comentario en Ferraz?
PorElMundo_sin_censores|Haciendo horas extra los secuaces de Ferraz.
zorin|Convocan una manifestacion en solitario y critican a los que no se une. No aprenden. En otra noticias vemos que mañana en Sevilla hay una manifestacion contra el rearme. ¿Y quién la ha convocado? Pues una plataforma formada por 40 colectivos. A la Señora Belarra y alguno de IU los veremos en la cabecera.
zagal2|@MPP64 #89 Cerrar @ zagal2 # 61 Los votos de los españoles suman lo suficiente como para que sus partidos pacten un cordón sanitario que entierre cualquier opción de gobierno con vox. Cuando el electorado tenga absolutamente claro que el pp no va a pactar con vox es posible que vuelva a sumar mayorías y mientras tanto se va a fosilizar en la oposición. No tiene ningún sentido hacer un cordón sanitario contra un partido constitucional como es VOX. Bueno sí, cuando los demás son desleales a la Constitución y la democracia. En España no hay democracia, hay una partitocracia que es corrupta, impune y cada vez más totalitaria. Que gobierne el PSOErojo o el PSOEazul, en defintiva el PPSOE, da bastante igual. La derecha tuvo mayoría absoluta con el programa de derechas que traicionó el PP de Rajoy y Soraya para hacer la política del PSOE, mantener sus tóxicas leyes ideológicas y no cumplir su programa, elevando los impuestos tanto que el propio Montoro dijo que era más que lo que hubiera hecho Izquierda Unida. No solo es posible, sino lo razonable un gobierno de derechas en España, que necesariamente será con VOX, que ponga fin a la partitocracia criminal.
Edgar16|Feijóo cree que la manifestación le va a hacer presidente de España. Está muy equivocado, eso solo sirve para achicharrarse a pleno sol. A Sánchez hay que echarle a patadas, pero en las urnas. Y él, lamentablemente, mientras siga como jefecillo de la oposición, no lo va a conseguir.
enriqueyahoo|Abascal ha perdido la cabeza.
ADELE_|Mazón anuncia que también asistirá a la manifestación. Eso sí, doce horas más tarde, él va a su ritmo.
TatoDulanci|Rajoy + Casado = Feijóo. Con tanta cobardía y tanto complejo de inferioridad lo normal sería NO nacer.
Detergente|Por decencia el capo debe dimitir para que la ciudadanía vote libremente si quiere que la higiene democrática vuelva a al país sin mafiosas cloacas,
zagal2|@ADELE_ #67 Cerrar @ zagal2 # 54 Pues Ayuso no fue la más votada en 2019 y gobernó. Hala, al rincón de pensar. Una doble vuelta sería una forma interesante de resolver el problema. El inconveniente es que hacer votar dos veces, puede que sea válido para las generales pero una demasía que puede provocar abstención por aburrimiento en las autonómicas y municipales. Además de su mayor coste.
